"U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,3.2001e+06,0.00045724,-0.0023269,-1.6979e-08,5.6583e-21,0.24118,,0.08955,0.09955,0,0
0,0,0,0,0,3.2001e+06,0.0004459,-0.0023196,-1.6596e-08,5.5179e-21,0.24081,,0.09154,0.10154,0,0
0,0,0,0,0,3.2001e+06,0.00043481,-0.0023124,-1.6236e-08,5.3807e-21,0.24043,,0.09353,0.10353,0,0
0,0,0,0,0,3.2001e+06,0.0004239,-0.0023054,-1.5903e-08,5.2458e-21,0.24007,,0.09552,0.10552,0,0
0,0,0,0,0,3.2001e+06,0.00041317,-0.0022986,-1.5599e-08,5.113e-21,0.23971,,0.09751,0.10751,0,0
0,0,0,0,0,3.2001e+06,0.00040257,-0.0022919,-1.531e-08,4.9818e-21,0.23936,,0.0995,0.1095,0,0
0,0,0,0,0,3.2001e+06,0.00039212,-0.0022853,-1.5029e-08,4.8525e-21,0.23902,,0.10149,0.11149,0,0
0,0,0,0,0,3.2001e+06,0.00038183,-0.0022788,-1.4752e-08,4.7251e-21,0.23868,,0.10348,0.11348,0,0
0,0,0,0,0,3.2001e+06,0.00037194,-0.0022724,-1.4469e-08,4.6028e-21,0.23835,,0.10547,0.11547,0,0
0,0,0,0,0,3.2001e+06,0.00036236,-0.0022662,-1.418e-08,4.5582e-21,0.23802,,0.10746,0.11746,0,0
0,0,0,0,0,3.2001e+06,0.00035306,-0.0022601,-1.3886e-08,4.5663e-21,0.2377,,0.10945,0.11945,0,0
0,0,0,0,0,3.2001e+06,0.00034417,-0.0022541,-1.359e-08,4.5732e-21,0.23739,,0.11144,0.12144,0,0
0,0,0,0,0,3.2001e+06,0.00033554,-0.0022483,-1.3302e-08,4.4242e-21,0.23708,,0.11343,0.12343,0,0
0,0,0,0,0,3.2001e+06,0.0003271,-0.0022426,-1.302e-08,4.2024e-21,0.23677,,0.11542,0.12542,0,0
0,0,0,0,0,3.2001e+06,0.00031893,-0.002237,-1.2757e-08,3.99e-21,0.23648,,0.11741,0.12741,0,0
0,0,0,0,0,3.2001e+06,0.00031091,-0.0022315,-1.251e-08,3.8475e-21,0.23619,,0.1194,0.1294,0,0
0,0,0,0,0,3.2001e+06,0.00030298,-0.0022261,-1.2273e-08,3.7494e-21,0.2359,,0.12139,0.13139,0,0
0,0,0,0,0,3.2001e+06,0.00029524,-0.0022208,-1.206e-08,3.6536e-21,0.23562,,0.12338,0.13338,0,0
0,0,0,0,0,3.2001e+06,0.00028756,-0.0022156,-1.1853e-08,3.5586e-21,0.23535,,0.12537,0.13537,0,0
0,0,0,0,0,3.2001e+06,0.00027999,-0.0022105,-1.1657e-08,3.4649e-21,0.23508,,0.12736,0.13736,0,0
0,0,0,0,0,3.2001e+06,0.00027261,-0.0022055,-1.1466e-08,3.3736e-21,0.23481,,0.12935,0.13935,0,0
0,0,0,0,0,3.2001e+06,0.00026532,-0.0022005,-1.1276e-08,3.2833e-21,0.23454,,0.13134,0.14134,0,0
0,0,0,0,0,3.2001e+06,0.00025843,-0.0021957,-1.1104e-08,3.198e-21,0.23429,,0.13333,0.14333,0,0
0,0,0,0,0,3.2001e+06,0.00025158,-0.0021909,-1.0938e-08,3.1132e-21,0.23403,,0.13532,0.14532,0,0
0,0,0,0,0,3.2001e+06,0.00024483,-0.0021862,-1.079e-08,3.0298e-21,0.23378,,0.13731,0.14731,0,0
0,0,0,0,0,3.2001e+06,0.00023812,-0.0021815,-1.0638e-08,2.9467e-21,0.23353,,0.1393,0.1493,0,0
0,0,0,0,0,3.2001e+06,0.00023145,-0.0021769,-1.0484e-08,2.8641e-21,0.23328,,0.14129,0.15129,0,0
0,0,0,0,0,3.2001e+06,0.00022496,-0.0021724,-1.0325e-08,2.7839e-21,0.23304,,0.14328,0.15328,0,0
0,0,0,0,0,3.2001e+06,0.00021859,-0.0021679,-1.0165e-08,2.7049e-21,0.2328,,0.14527,0.15527,0,0
0,0,0,0,0,3.2001e+06,0.00021236,-0.0021635,-1.0012e-08,2.6279e-21,0.23257,,0.14726,0.15726,0,0
0,0,0,0,0,3.2001e+06,0.00020618,-0.0021592,-9.8623e-09,2.5515e-21,0.23233,,0.14925,0.15925,0,0
0,0,0,0,0,3.2001e+06,0.00020006,-0.002155,-9.7224e-09,2.4756e-21,0.23211,,0.15124,0.16124,0,0
0,0,0,0,0,3.2001e+06,0.00019394,-0.0021508,-9.5846e-09,2.3999e-21,0.23188,,0.15323,0.16323,0,0
0,0,0,0,0,3.2001e+06,0.00018793,-0.0021466,-9.4491e-09,2.3255e-21,0.23166,,0.15522,0.16522,0,0
0,0,0,0,0,3.2001e+06,0.00018193,-0.0021425,-9.3141e-09,2.2513e-21,0.23143,,0.15721,0.16721,0,0
0,0,0,0,0,3.2001e+06,0.00017617,-0.0021385,-9.1805e-09,2.18e-21,0.23122,,0.1592,0.1692,0,0
0,0,0,0,0,3.2001e+06,0.00017045,-0.0021346,-9.0472e-09,2.1092e-21,0.231,,0.16119,0.17119,0,0
